Id,Age,MF,LoE,YoW,YoCW,Income,Housing,Car,Res
0,60,F,Bach,4,4,4759451,R,False,Accept
1,60,F,Bach,4,4,4759451,R,False,Accept
2,76,M,Bach,8,8,8237019,R,True,Accept
3,28,M,Ad. Dip,4,4,9114804,R,False,Accept
4,44,M,Ad. Dip,16,5,998868,R,False,Reject
5,62,M,Bach,12,7,912294,R,True,Accept
6,63,M,Bach,3,3,2411292,R,False,Accept
7,65,M,Dip,13,4,5583648,R,True,Reject
8,41,M,Mst,6,3,7591621,O,False,Reject
9,42,F,Mst,18,11,5462646,R,False,Accept
10,62,M,Ad. Dip,15,8,1394389,R,True,Reject
11,77,M,Dip,16,7,2940425,R,True,Reject
12,50,M,P. Doct,9,9,5094060,R,True,Accept
13,45,M,Mst,11,8,4658830,R,True,Accept
14,50,M,Mst,1,1,4209565,R,False,Accept
15,57,M,Doct,15,14,2625566,R,True,Accept
16,70,M,Bach,12,8,3983449,R,False,Accept
17,70,M,Bach,12,8,3983449,R,False,Accept
18,22,M,Bach,0,0,2297340,R,False,Accept
19,59,F,Mst,1,1,5712282,R,False,Accept
20,26,M,Mst,12,9,1706479,R,False,Accept
21,47,M,Mst,3,3,9173731,R,False,Accept
22,32,M,Dip,12,9,555482,R,False,Reject
23,25,M,Mst,12,12,8340826,R,True,Accept
24,73,M,Doct,16,11,7872203,R,False,Accept
25,22,M,Mst,3,3,9311367,R,False,Accept
26,65,M,Bach,6,6,7767461,O,False,Accept
27,70,M,Bach,6,6,6028273,R,True,Accept
28,40,F,Ad. Dip,10,9,7790773,R,NaN,Accept
29,53,M,Mst,8,8,2201976,R,True,Reject
30,32,M,Ad. Dip,12,5,5734542,R,False,Accept
31,41,M,Bach,11,7,6305461,R,True,Accept
32,55,M,Dip,16,8,9472148,R,False,Accept
33,68,M,Mst,9,8,9287205,N,False,Accept
34,56,M,Bach,5,4,7331180,R,False,Accept
35,62,M,Mst,17,14,5086925,R,False,Accept
36,32,F,Ad. Dip,10,10,4552514,R,True,Accept
37,46,M,Bach,8,6,7321831,R,False,Accept
38,41,M,Bach,8,8,9961539,O,True,Accept
39,74,M,Ad. Dip,0,0,6809745,R,True,Accept
40,24,M,Bach,18,5,7936020,R,False,Accept
41,51,M,Bach,17,8,5470140,N,False,Accept
42,37,M,Bach,6,6,9312608,R,True,Accept
43,23,M,Bach,0,0,383282,R,True,Accept
44,60,M,Bach,19,5,2582382,R,False,Accept
45,45,M,Doct,13,5,4807368,O,True,Accept
46,49,M,Bach,0,0,4387681,R,False,Accept
47,57,M,Bach,12,8,9530702,R,False,Accept
48,79,M,Dip,7,7,2810048,R,False,Reject
49,66,F,Bach,3,3,8199311,R,True,Accept
50,36,M,Ad. Dip,11,4,890951,O,True,Reject
51,55,M,Bach,18,10,3861206,R,False,Accept
52,53,M,Ad. Dip,6,6,9352887,R,True,Accept
53,78,M,Ad. Dip,18,5,3654298,R,True,Accept
54,68,M,Dip,1,1,1810800,R,False,Reject
55,60,M,Doct,20,7,6775535,R,False,Accept
56,50,M,Mst,5,5,1760376,R,False,Accept
57,53,M,Bach,12,11,6565653,O,False,Reject
58,21,M,Bach,11,6,7280359,R,False,Reject
59,23,M,Bach,0,0,383282,R,True,Accept
60,78,M,Doct,6,6,4957836,R,False,Accept
61,41,M,Bach,9,7,1930730,R,False,Accept
62,48,M,Dip,18,10,5356329,N,False,Accept
63,67,M,Mst,20,8,1960176,R,True,Accept
64,68,M,Mst,9,9,651402,R,True,Accept
65,43,F,Bach,4,4,7059372,O,False,Reject
66,31,M,Bach,9,9,9723891,R,True,Accept
67,68,M,Mst,9,9,651402,R,True,Accept
68,64,F,Bach,7,7,2212744,R,False,Accept
69,26,M,P. Doct,11,11,2408696,R,False,Accept
70,72,F,P. Doct,18,4,220528,R,False,Accept
71,70,M,NaN,1,1,4001896,R,False,Accept
72,78,M,Bach,8,8,3062422,R,False,Accept
73,68,M,Doct,4,4,7087601,R,False,Accept
74,60,M,Mst,15,14,6669896,R,True,Accept
75,59,M,Mst,10,6,4925213,N,True,Accept
76,45,M,Bach,10,5,62100,R,True,Accept
77,56,M,Doct,15,8,9299383,R,False,Reject
78,24,M,Ad. Dip,18,4,6258651,R,False,Accept
79,77,M,Doct,19,6,510754,R,False,Accept
80,62,M,Mst,19,13,1198501,R,False,Accept
81,75,F,Doct,3,3,9634930,R,False,Accept
82,23,M,Bach,3,3,7217848,R,False,Accept
83,47,M,Ad. Dip,7,4,5110841,R,False,Accept
84,70,M,Mst,1,1,4400395,R,False,Accept
85,47,M,Bach,6,6,3483388,R,False,Accept
86,34,M,Bach,12,9,6634248,R,False,Accept
87,61,M,Mst,9,9,527900,R,True,Reject
88,62,M,Bach,8,8,5688746,R,True,Accept
89,62,M,P. Doct,17,5,8536742,R,False,Accept
90,28,M,Doct,19,13,7282131,R,False,Accept
91,27,M,Doct,2,2,7275614,R,False,Accept
92,23,M,Bach,3,3,7217848,R,False,Accept
93,75,M,Dip,6,6,1061632,R,True,Reject
94,33,M,Bach,6,6,3169625,R,False,Accept
95,77,M,Mst,18,14,8830162,R,False,Accept
96,32,M,Bach,15,3,2541624,R,False,Reject
97,22,M,Ad. Dip,2,2,8437491,R,False,Reject
98,62,M,Mst,0,0,7990740,R,False,Accept
99,44,M,Mst,10,5,4228700,R,False,Accept
100,58,F,Doct,3,3,93979,R,False,Accept
101,26,M,Ad. Dip,18,10,759604,R,False,Reject
102,42,M,Dip,10,4,5238649,O,True,Accept
103,60,M,Mst,15,14,6669896,R,True,Accept
104,52,M,Bach,7,7,2162328,R,False,Accept
105,26,M,Mst,7,4,9338129,R,False,Accept
106,75,F,Mst,13,13,1500447,R,False,Reject
107,62,M,Bach,8,8,5688746,R,True,Accept
108,67,F,Bach,13,4,8768562,R,False,Accept
109,58,F,Doct,3,3,9397962,R,False,Accept
110,69,M,Dip,8,6,8171432,O,True,Accept
111,47,M,Mst,0,0,9292764,O,False,Accept
112,45,M,Doct,19,4,1091777,NaN,True,Accept
113,23,M,Mst,13,9,8769550,R,False,Reject
114,76,M,Bach,10,10,6856239,R,False,Reject
115,34,M,Ad. Dip,13,11,6035837,R,False,Accept
116,61,M,Mst,11,6,3392005,R,False,Accept
117,57,M,Mst,17,5,4503934,R,False,Accept
118,74,M,Mst,9,5,9693465,R,False,Accept
119,73,M,Mst,5,5,2149916,R,True,Accept
120,78,M,Ad. Dip,18,5,3654298,R,True,Accept
121,78,M,Bach,0,0,4660756,R,True,Accept
122,40,M,Dip,17,7,9842681,N,False,Accept
123,27,M,Ad. Dip,16,14,1697857,R,False,Reject
124,44,M,Bach,14,8,8723131,R,True,Accept
125,69,M,Dip,9,9,4516990,R,False,Reject
126,57,M,Dip,19,9,6420146,R,True,Accept
127,37,M,Mst,5,5,6357644,R,False,Accept
128,28,M,Ad. Dip,7,7,3753824,R,False,Accept
129,72,M,Bach,19,6,2791693,R,False,Accept
130,28,M,Dip,5,5,5929358,R,True,Accept
131,40,M,Doct,3,3,6200661,R,False,Accept
132,70,M,Mst,19,13,5778620,R,True,Accept
133,79,M,Dip,6,6,9936818,R,False,Accept
134,58,M,Doct,9,5,4186842,R,True,Accept
135,41,M,Bach,14,10,5053629,R,False,Accept
136,66,M,P. Doct,8,3,6152081,R,False,Accept
137,42,M,P. Doct,18,10,3259645,R,False,Accept
138,70,M,Bach,12,8,3983449,R,False,Accept
139,53,M,Doct,18,12,9757979,R,False,Accept
140,37,M,Ad. Dip,14,12,3741822,R,False,Accept
141,26,M,Mst,16,9,2604480,R,False,Accept
142,41,M,Mst,8,3,1752625,R,False,Accept
143,52,M,Bach,7,7,2162328,R,False,Accept
144,41,M,Mst,5,5,8001918,R,False,Accept
145,27,M,Ad. Dip,12,4,182326,R,True,Reject
146,60,M,Ad. Dip,7,7,9390552,R,True,Accept
147,40,M,Ad. Dip,6,6,2948884,R,True,Reject
148,68,M,Bach,20,11,6973369,R,False,Reject
149,56,M,Bach,12,12,848202,R,True,Accept
150,45,M,Dip,9,9,1425186,N,True,Reject
151,37,M,Mst,8,8,3080904,R,False,Reject
152,60,M,Bach,0,0,7037465,R,False,Accept
153,61,M,Dip,9,4,5316246,R,True,Accept
154,21,M,Bach,11,6,7280359,R,False,Reject
155,44,F,P. Doct,19,8,2764757,R,False,Accept
156,32,M,Ad. Dip,12,5,5734542,R,False,Accept
157,76,M,Bach,9,9,90178,R,False,Accept
158,50,M,Mst,1,1,4209565,R,False,Reject
159,47,M,Bach,2,2,3453372,R,False,Reject
160,48,M,Dip,11,11,9267569,R,False,Reject
161,64,F,Bach,7,7,2212744,R,False,Accept
162,70,M,Bach,6,6,6028273,R,True,Accept
163,75,M,Doct,3,3,4529098,R,False,Accept
164,25,M,Bach,18,12,389805,R,False,Accept
165,77,M,Dip,0,0,150879,N,True,Reject
166,32,M,Mst,11,8,3508614,R,False,Accept
167,70,M,Bach,18,10,7164498,R,False,Accept
168,35,M,NaN,10,5,6640784,R,True,Accept
169,63,M,Mst,13,11,9099898,R,True,Accept
170,45,M,Doct,13,5,4807368,O,True,Accept
171,39,M,Doct,6,6,5109740,R,False,Accept
172,69,M,Dip,11,8,9656185,O,False,Reject
173,26,M,Mst,16,9,2604480,R,False,Accept
174,50,M,Bach,13,11,9543987,R,False,Accept
175,72,M,Dip,8,8,1904060,R,False,Reject
176,76,M,Bach,9,9,90178,R,False,Reject
177,51,F,Mst,17,14,452661,R,False,Accept
178,25,M,Ad. Dip,18,6,2503612,R,False,Reject
179,48,M,Bach,4,3,4507766,R,False,Accept
180,75,F,Bach,8,8,3125755,R,False,Accept
181,29,M,Mst,4,4,143036,R,False,Accept
182,73,M,Bach,8,3,8323448,R,True,Accept
183,30,M,Dip,6,4,3909537,R,False,Accept
184,43,M,Doct,16,4,2814087,R,True,Accept
185,41,M,Bach,11,7,6305461,R,True,Reject
186,28,M,Dip,5,5,681770,R,True,Reject
187,26,M,Ad. Dip,12,4,5822214,R,False,Accept
188,54,M,Dip,10,6,3574087,R,False,Accept
189,44,F,Bach,7,7,2979441,R,True,Accept
190,50,M,Mst,1,1,4209565,R,False,Accept
191,48,M,Ad. Dip,12,4,6911597,R,False,Accept
192,31,M,Doct,6,6,8757398,R,True,Accept
193,62,M,Mst,19,13,1198501,R,False,Accept
194,44,F,Bach,7,7,2979441,R,True,Reject
195,65,M,Bach,9,9,3009196,R,False,Accept
196,47,M,Ad. Dip,7,4,5110841,R,False,Accept
197,27,M,Ad. Dip,3,3,2087733,O,False,Reject
198,65,M,Mst,6,6,8030284,R,False,Reject
199,57,M,Dip,16,3,7556052,O,True,Accept
200,32,M,Dip,15,6,9677982,R,False,Accept
201,23,M,Bach,0,0,7240511,R,True,Accept
202,42,M,Bach,16,7,4590372,R,False,Accept
203,78,M,Mst,13,11,3957826,R,False,Reject
204,76,M,Bach,8,5,7332667,R,False,Accept
205,40,M,Dip,18,5,2682048,R,False,Reject
206,48,M,Bach,4,3,4507766,R,False,Accept
207,40,F,Ad. Dip,10,9,7790773,R,True,Accept
208,71,M,Mst,5,3,806853,N,False,Accept
209,37,M,Bach,12,12,975686,R,False,Accept
210,67,M,Mst,20,8,1960176,R,True,Accept
211,63,M,Dip,9,5,8355348,R,True,Accept
212,53,M,Doct,4,4,5911221,R,False,Accept
213,69,M,Dip,8,6,8171432,O,True,Reject
214,51,M,Bach,11,3,6340921,R,False,Accept
215,30,F,Mst,9,5,8256310,R,False,Accept
216,31,M,Bach,17,4,7549491,R,False,Accept
217,54,M,Doct,13,3,6415225,R,False,Accept
218,39,M,P. Doct,9,9,4072094,R,False,Accept
219,48,F,Ad. Dip,2,2,6805823,R,True,Accept
220,23,M,Ad. Dip,18,11,6881187,R,False,Accept
221,74,M,Bach,17,5,4935105,R,False,Accept
222,76,M,Dip,3,3,3412117,R,True,Reject
223,28,F,P. Doct,7,7,6165156,O,False,Accept
224,57,M,Ad. Dip,17,12,8331405,R,False,Reject
225,72,M,Bach,14,6,8925422,R,True,Accept
226,78,F,Mst,12,6,6487755,O,False,Accept
227,23,M,Bach,6,6,5641705,R,False,Accept
228,58,M,Dip,5,5,757960,R,True,Reject
229,35,M,Ad. Dip,9,9,2742207,R,False,Reject
230,21,F,Bach,15,3,6552503,R,True,Accept
231,56,M,Doct,2,2,9627539,R,True,Accept
232,34,M,Bach,2,2,7747297,R,False,Accept
233,78,M,Bach,0,0,4660756,R,True,Accept
234,69,M,Doct,2,2,6197216,R,False,Accept
235,26,M,Mst,13,7,2504779,O,True,Reject
236,56,M,Doct,2,2,9627539,R,True,Accept
237,66,M,P. Doct,8,3,6152081,R,False,Accept
238,50,M,P. Doct,3,3,1865410,R,True,Accept
239,36,M,Dip,14,5,8275468,R,False,Accept
240,61,F,Mst,19,9,8581174,R,False,Accept
241,46,F,Bach,20,13,2248392,R,True,Accept
242,27,M,Ad. Dip,16,14,1697857,R,False,Reject
243,60,M,Bach,18,5,8049089,R,False,Accept
244,60,M,Ad. Dip,9,9,7488205,R,False,Accept
245,66,M,Bach,10,10,1728444,NaN,True,Accept
246,61,M,Mst,11,6,3392005,R,False,Accept
247,22,M,Ad. Dip,3,3,2974289,R,False,Reject
248,67,M,Bach,4,4,749226,R,True,Accept
249,52,M,Bach,11,10,8948812,R,True,Accept
250,64,M,Bach,10,10,8753203,R,True,Accept
251,21,M,Doct,5,5,4239717,R,False,Accept
252,30,M,Bach,18,3,36639,R,False,Accept
253,65,M,Mst,19,9,267701,R,True,Accept
254,74,M,Ad. Dip,0,0,6809745,R,True,Accept
255,70,M,Bach,1,1,4001896,R,False,Accept
256,32,F,Doct,9,6,5898669,R,False,Reject
257,57,M,Mst,4,4,7555360,R,False,Accept
258,25,M,Mst,4,4,2278568,R,False,Reject
259,60,M,Doct,16,3,5886958,R,False,Accept
260,68,M,Dip,14,9,3840944,R,False,Accept
261,67,M,Bach,19,11,446041,R,False,Accept
262,68,M,Mst,9,9,651402,R,True,Accept
263,32,M,Mst,9,9,754974,R,False,Accept
264,60,M,Doct,5,5,7098940,R,True,Accept
265,56,M,P. Doct,20,10,402869,R,False,Accept
266,69,F,Doct,19,11,9224297,O,True,Accept
267,31,M,Dip,20,4,3298331,R,False,Accept
268,68,M,Bach,7,4,6381899,R,True,Reject
269,26,M,Dip,10,10,3871972,R,False,Accept
270,37,M,Mst,19,10,7245269,R,False,Accept
271,30,M,Dip,2,2,5468664,R,False,Reject
272,34,M,Doct,20,3,1303701,R,False,Accept
273,75,M,Ad. Dip,7,7,7509022,R,False,Accept
274,69,M,Dip,9,9,4516990,R,False,Reject
275,39,M,Bach,15,3,2287116,R,True,Accept
276,72,M,Bach,14,11,2175504,R,False,Accept
277,41,M,Dip,16,7,5523182,R,True,Accept
278,49,M,Bach,12,3,7677453,R,True,Accept
279,34,M,Doct,20,3,1303701,R,False,Reject
280,43,F,Bach,4,4,7059372,O,False,Reject
281,55,M,Mst,8,8,8830734,R,True,Accept
282,45,M,Bach,19,4,1882143,R,True,Reject
283,50,M,Bach,13,3,9213176,R,False,Reject
284,78,M,Bach,0,0,4660756,R,True,Accept
285,48,F,Mst,15,14,9620139,N,True,Accept
286,32,M,Bach,17,7,3642033,R,False,Accept
287,34,M,Mst,2,2,1780115,R,False,Accept
288,63,M,Ad. Dip,5,4,6345469,R,True,Accept
289,42,M,Bach,16,7,4590372,R,False,Accept
290,76,M,Mst,0,0,5394516,R,False,Accept
291,40,F,Ad. Dip,10,9,7790773,R,True,Accept
292,42,M,Mst,16,5,3979671,R,True,Accept
293,41,M,Ad. Dip,1,1,3330034,R,True,Accept
294,45,M,Bach,6,3,2537374,R,True,Accept
295,62,M,Bach,12,7,912294,R,True,Accept
296,77,M,Bach,20,9,3125803,R,False,Reject
297,73,M,Doct,17,5,5725424,R,False,Accept
298,71,M,Mst,14,4,5977613,R,True,Accept
299,67,M,Bach,19,11,446041,R,False,Accept
300,34,M,Bach,4,4,8698666,R,False,Accept
301,21,M,Doct,12,12,3102332,R,False,Accept
302,26,M,Mst,16,9,2604480,R,False,Accept
303,70,M,Bach,18,10,7164498,R,False,Accept
304,79,M,Bach,18,12,6535026,R,False,Accept
305,36,F,Bach,17,13,630763,R,False,Accept
306,76,M,Dip,2,2,5186187,R,False,Reject
307,32,M,Bach,17,7,3642033,R,False,Accept
308,76,M,Mst,0,0,5394516,R,False,Accept
309,43,F,Bach,4,4,7059372,O,False,Accept
310,38,M,Dip,13,9,7428357,R,True,Accept
311,64,M,Ad. Dip,19,5,5004938,R,False,Accept
312,52,M,Bach,7,7,2162328,R,False,Accept
313,70,F,Dip,9,5,7363274,R,False,Accept
314,51,M,Mst,19,8,3932375,R,True,Accept
315,61,M,Mst,11,6,3392005,R,False,Accept
316,58,M,Mst,5,5,9400836,R,True,Reject
317,38,M,Doct,13,4,765211,R,True,Accept
318,25,M,Doct,7,6,2260490,R,True,Accept
319,22,M,Ad. Dip,3,3,2974289,R,False,Reject
320,61,M,Mst,11,6,3392005,R,False,Accept
321,59,M,Bach,3,3,9804751,R,False,Accept
322,32,M,Dip,17,4,7412436,N,True,Accept
323,39,M,Dip,3,3,8794262,R,False,Accept
324,53,M,Doct,12,7,4022416,R,False,Accept
325,57,M,Mst,4,4,7555360,R,False,Accept
326,53,M,Mst,6,6,4264991,R,False,Accept
327,57,M,Mst,4,4,7555360,R,False,Accept
328,77,M,Dip,20,6,2608473,R,False,Reject
329,78,M,Doct,17,8,3469743,R,False,Accept
330,29,M,Dip,20,5,2310165,R,True,Reject
331,27,M,Mst,0,0,7231280,R,True,Accept
332,24,M,Doct,8,7,7853718,R,False,Accept
333,79,M,Dip,19,13,4804358,R,False,Accept
334,25,M,Bach,18,12,389805,R,False,Accept
335,41,M,Bach,11,7,6305461,R,True,Reject
336,66,M,Dip,6,6,5966818,R,True,Accept
337,27,M,Ad. Dip,16,14,1697857,R,False,Reject
338,38,M,Mst,5,5,5990216,R,False,Accept
339,60,M,Doct,12,10,4828285,R,True,Accept
340,45,M,Bach,11,8,4547051,R,False,Accept
341,24,M,Bach,1,1,5656977,R,True,Accept
342,54,M,Doct,15,5,3935358,N,True,Accept
343,26,M,Bach,7,7,9339256,R,False,Accept
344,21,M,Bach,11,6,7280359,R,False,Reject
345,59,F,Mst,1,1,5712282,R,False,Accept
346,76,M,Dip,2,2,5186187,R,False,Reject
347,52,M,Mst,3,3,8296337,R,False,Accept
348,46,M,Bach,17,11,4772948,R,False,Reject
349,61,M,Ad. Dip,3,3,1669654,R,False,Reject
350,62,M,Dip,8,8,9317664,R,True,Accept
351,51,F,P. Doct,9,9,9825269,R,False,Reject
352,33,F,Dip,13,11,6389669,R,False,Accept
353,46,M,Bach,16,3,5160725,R,False,Accept
354,56,M,Bach,16,6,6879691,R,False,Accept
355,40,M,Dip,9,7,6877905,R,True,Reject
356,46,M,Doct,6,4,4277195,R,False,Reject
357,37,M,Bach,17,7,7257940,R,False,Accept
358,62,M,Bach,12,7,912294,R,True,Accept
359,34,M,Ad. Dip,6,6,2453112,R,False,Reject
360,26,M,Mst,16,9,2604480,R,False,Accept
361,31,M,Doct,15,6,3805380,R,False,Accept
362,56,M,Dip,7,7,6289585,N,True,Accept
363,51,M,Dip,3,3,9280298,R,False,Accept
364,68,M,Doct,16,13,7648698,R,True,Accept
365,67,M,Bach,19,6,5188656,R,False,Accept
366,59,M,Ad. Dip,1,1,7561209,R,True,Reject
367,68,M,P. Doct,2,2,8884015,R,False,Accept
368,61,M,Doct,20,7,9744507,R,True,Accept
369,60,M,Doct,19,14,6105914,R,False,Accept
370,46,M,P. Doct,10,10,8097859,R,False,Accept
371,69,M,Dip,9,9,4516990,R,False,Accept
372,47,M,Dip,19,6,6174825,R,False,Accept
373,75,M,Mst,6,6,4305317,R,False,Accept
374,33,M,Bach,8,4,704775,R,False,Accept
375,24,M,Bach,1,1,5656977,R,NaN,Accept
376,48,M,Mst,9,9,6003357,R,False,Accept
377,31,M,Bach,17,4,7549491,R,False,Accept
378,51,M,Ad. Dip,18,14,6814983,R,False,Accept
379,33,M,Doct,14,4,4581003,R,False,Accept
380,74,M,Doct,16,11,2511105,R,True,Accept
381,55,M,Bach,1,1,4258515,R,True,Accept
382,48,M,Mst,6,6,3831317,R,False,Accept
383,33,M,Bach,6,6,3169625,R,False,Accept
384,61,M,Dip,13,10,5533812,O,True,Accept
385,28,M,Doct,19,13,7282131,R,False,Accept
386,32,M,Dip,15,6,9677982,R,False,Accept
387,54,M,Bach,9,9,6260643,R,False,Accept
388,56,F,Bach,20,7,16896,R,False,Accept
389,37,M,Bach,12,12,975686,R,False,Accept
390,59,M,Mst,10,6,4925213,N,True,Accept
391,41,M,Bach,6,6,4531094,R,False,Accept
392,28,M,Ad. Dip,7,6,1955424,R,False,Reject
393,74,F,Doct,3,3,3905134,R,False,Accept
394,74,M,Bach,2,2,5697624,R,True,Accept
395,65,M,Dip,17,5,1586203,R,False,Reject
396,63,M,Bach,13,10,9254833,R,True,Accept
397,78,M,Bach,19,3,2926477,R,False,Reject
398,41,M,Ad. Dip,6,6,1669231,R,False,Reject
399,34,M,Bach,18,10,4739684,R,False,Accept
400,32,M,Bach,12,3,3081814,O,False,Accept
401,61,M,Mst,3,3,6359903,R,True,Accept
402,74,M,Mst,20,14,7109627,N,True,Accept
403,74,M,Ad. Dip,0,0,6809745,R,True,Accept
404,69,M,Bach,12,12,8463555,R,False,Accept
405,51,M,Ad. Dip,14,7,2504515,R,True,Reject
406,24,M,Ad. Dip,19,13,1056300,R,True,Reject
